#name,x,y,alt,yaw,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
img0.png,72.5744732274803,32.5415068024538,5.8928641253744,83.4956498094635,83.0747103637701,-162.361392460324,38.0258641553147,0.00752618395978397,-0.0128263124285233,-0.19067486273307,1.40548757760002,-4.66400722259008,0,0,0
img1.png,65.9805392339206,43.1246210793321,6.07405335314801,73.6995656575527,83.3172579981443,-162.898600084793,37.8262240032206,0.00950594487200077,-0.0108212280532402,-0.173562540974068,1.43114213445437,-11.7452514045174,0,0,0
img2.png,58.1284314896419,53.9114987095093,6.21323292879084,62.0950600196657,83.2559931434741,-164.303619818626,38.2346192056314,0.00590098778778734,-0.0161559972753112,-0.154653219141323,1.11046262449719,-6.08389318867526,0,0,0
img3.png,47.5704134798975,63.0037192957599,6.34855492437881,50.7625220884397,83.6096487608317,-165.140476776632,38.3733583967965,0.00364295057553116,-0.0125800355239752,-0.257491764864529,4.65239633063908,-34.6605683499995,0,0,0
img4.png,35.8314295124319,69.5774577603271,6.44446834841595,39.3859547920139,83.8675748916949,-166.549640671122,38.2667193275284,0.00441488466323616,-0.0098181643638858,-0.218280096569745,2.76060551471655,-11.6568960370013,0,0,0
img5.png,23.5604813145365,73.9433689574388,6.46034460743474,27.2653497475415,83.6126764155832,-168.907858758076,38.1866789179491,0.00336853207987901,-0.015601323685053,-0.279485121690871,5.46051661178912,-44.238029076509,0,0,0
img6.png,10.4279743913918,76.3515356826059,6.41191753518555,15.5219714980415,83.6571093877814,-170.552922527857,38.2786635757212,0.000643980428964836,-0.0149395256868975,-0.396815377947981,10.3840924451769,-99.2022362143707,0,0,0
img7.png,-2.6753899711205,76.5773275604566,6.33132995357073,3.960971991359,83.7746072509598,-172.205366974323,38.373309243526,-0.00230322575844631,-0.0124951508230101,-0.397098133693012,10.5584979301846,-109.081917765081,0,0,0
img8.png,-15.8585578067174,74.5235102653093,6.21638540681253,-7.72299513583734,83.768150912984,-174.017897004661,38.4408244186117,-0.00169960295949081,-0.0117147750005829,-0.267886067537207,4.04399889724464,-31.447540470528,0,0,0
img9.png,-28.6521741728725,69.7385793379231,6.08364481965411,-19.3863573373819,83.6990853582736,-175.508539524106,38.3187268510393,-0.00224544866186825,-0.0111726792067021,-0.243371192239873,3.4960061916754,-27.390197364873,0,0,0
