#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
img0.png,72.57447322748025,32.54150680245375,5.892864125374395,83.4956498094635,83.07471036377007,-162.3613924603242,38.02586415531472,7.526183959783972e-003,-1.282631242852328e-002,-0.1906748627330697,1.405487577600015,-4.664007222590075,0,0,0
img1.png,65.98053923392062,43.12462107933213,6.074053353148008,73.69956565755272,83.31725799814434,-162.8986000847931,37.8262240032206,9.505944872000766e-003,-1.082122805324024e-002,-0.1735625409740677,1.431142134454371,-11.74525140451744,0,0,0
img2.png,58.12843148964188,53.91149870950927,6.213232928790838,62.09506001966572,83.25599314347413,-164.3036198186264,38.23461920563145,5.900987787787342e-003,-1.615599727531118e-002,-0.1546532191413235,1.110462624497185,-6.083893188675257,0,0,0
img3.png,47.57041347989747,63.00371929575991,6.34855492437881,50.76252208843966,83.6096487608317,-165.1404767766317,38.3733583967965,3.642950575531163e-003,-1.258003552397517e-002,-0.2574917648645292,4.652396330639081,-34.66056834999947,0,0,0
img4.png,35.83142951243193,69.57745776032715,6.444468348415951,39.3859547920139,83.86757489169484,-166.5496406711217,38.26671932752841,4.414884663236158e-003,-9.818164363885799e-003,-0.218280096569745,2.760605514716552,-11.65689603700131,0,0,0
img5.png,23.56048131453651,73.94336895743882,6.460344607434742,27.26534974754152,83.61267641558322,-168.9078587580755,38.18667891794912,3.368532079879006e-003,-1.560132368505295e-002,-0.2794851216908707,5.46051661178912,-44.23802907650902,0,0,0
img6.png,10.42797439139182,76.35153568260594,6.411917535185546,15.52197149804154,83.65710938778138,-170.552922527857,38.27866357572122,6.439804289648361e-004,-1.493952568689754e-002,-0.3968153779479806,10.38409244517691,-99.20223621437071,0,0,0
img7.png,-2.675389971120503,76.5773275604566,6.33132995357073,3.960971991358995,83.77460725095983,-172.2053669743234,38.37330924352597,-2.303225758446307e-003,-1.249515082301008e-002,-0.3970981336930121,10.55849793018455,-109.0819177650811,0,0,0
img8.png,-15.85855780671743,74.52351026530928,6.216385406812535,-7.722995135837344,83.76815091298404,-174.0178970046609,38.44082441861167,-1.699602959490808e-003,-1.171477500058291e-002,-0.2678860675372067,4.043998897244638,-31.44754047052803,0,0,0
img9.png,-28.65217417287248,69.73857933792311,6.083644819654106,-19.38635733738185,83.69908535827359,-175.508539524106,38.3187268510393,-2.245448661868251e-003,-1.117267920670206e-002,-0.2433711922398733,3.4960061916754,-27.39019736487304,0,0,0
